,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Puerto Ayora,-0.74,-90.35,19.44,84,54,2.24,EC,1600850598
1,Bluff,-46.6,168.33,12.22,77,44,2.24,NZ,1600850404
2,Kresek,-6.13,106.38,35.0,66,20,4.1,ID,1600850599
3,Port Alfred,-33.59,26.89,20.54,51,31,2.45,ZA,1600850599
4,Gornopravdinsk,60.05,69.9,4.09,95,100,5.26,RU,1600850599
5,Kapaa,22.08,-159.32,27.0,74,40,6.7,US,1600850599
6,Punta Arenas,-53.15,-70.92,6.0,81,75,7.2,CL,1600850599
7,Farafangana,-22.82,47.83,23.03,74,71,5.98,MG,1600850599
8,Avarua,-21.21,-159.78,25.0,88,100,5.7,CK,1600850600
9,Kruisfontein,-34.0,24.73,21.42,34,13,1.85,ZA,1600850600
10,San Policarpo,12.18,125.51,28.07,81,99,2.32,PH,1600850600
11,Mataura,-46.19,168.86,12.22,78,36,0.45,NZ,1600850600
12,Busselton,-33.65,115.33,21.67,42,5,2.66,AU,1600850600
13,Batemans Bay,-35.72,150.18,16.67,74,37,2.24,AU,1600850600
14,Dhaka,23.71,90.41,28.0,83,75,5.1,BD,1600850509
15,Yangi Marg`ilon,40.43,71.72,23.0,25,25,3.1,UZ,1600850601
16,Saint-Augustin,51.23,-58.65,10.25,94,100,10.64,CA,1600850601
17,Dunedin,-45.87,170.5,11.11,82,16,0.89,NZ,1600850431
18,Ushuaia,-54.8,-68.3,5.0,80,75,2.1,AR,1600850601
19,Saskylakh,71.92,114.08,10.67,48,0,7.46,RU,1600850601
20,Longyearbyen,78.22,15.64,2.0,64,75,6.7,SJ,1600850601
21,Samarai,-10.62,150.67,25.73,83,95,5.86,PG,1600850601
22,Butaritari,3.07,172.79,27.83,77,28,6.19,KI,1600850602
23,Portland,45.52,-122.68,18.33,72,90,2.6,US,1600850525
24,Lompoc,34.64,-120.46,13.33,93,90,1.5,US,1600850426
25,Ozinki,51.18,49.68,20.54,45,0,7.67,RU,1600850602
26,Makkah al Mukarramah,21.43,39.83,43.62,6,26,6.75,SA,1600850500
27,Yamada,39.47,141.95,18.89,85,99,5.04,JP,1600850457
28,Hithadhoo,-0.6,73.08,28.28,61,100,2.02,MV,1600850602
29,Hermanus,-34.42,19.23,19.44,61,17,0.45,ZA,1600850602
30,Blind River,46.18,-82.96,13.0,93,1,2.6,CA,1600850602
31,Sur,22.57,59.53,33.84,41,100,5.47,OM,1600850603
32,Bredasdorp,-34.53,20.04,17.0,67,40,2.6,ZA,1600850603
33,Sitka,57.05,-135.33,13.0,62,90,9.3,US,1600850603
34,Berlevåg,70.86,29.09,8.0,65,47,6.2,NO,1600850603
35,Kasempa,-13.46,25.83,28.58,27,0,4.97,ZM,1600850603
36,Yulara,-25.24,130.99,27.0,13,0,4.6,AU,1600850603
37,Provideniya,64.38,-173.3,4.67,75,66,1.58,RU,1600850604
38,Khatanga,71.97,102.5,12.51,50,0,5.77,RU,1600850604
39,Naze,28.37,129.48,28.0,83,75,6.2,JP,1600850604
40,Merauke,-8.47,140.33,27.23,79,3,8.43,ID,1600850604
41,Saint George,37.1,-113.58,23.33,25,1,3.1,US,1600850604
42,Tuktoyaktuk,69.45,-133.04,2.38,86,0,3.44,CA,1600850605
43,Cockburn Town,21.46,-71.14,27.74,76,62,3.75,TC,1600850605
44,Jamestown,42.1,-79.24,8.0,93,1,1.5,US,1600850605
45,Pa Sang,18.53,98.94,30.0,70,75,2.6,TH,1600850605
46,Hualmay,-11.1,-77.61,15.27,87,7,2.07,PE,1600850605
47,Rikitea,-23.12,-134.97,22.35,75,7,7.11,PF,1600850606
48,Cape Town,-33.93,18.42,20.56,77,63,5.1,ZA,1600850550
49,Tiksi,71.69,128.87,8.05,63,77,6.05,RU,1600850606
50,Hilo,19.73,-155.09,23.0,88,90,3.1,US,1600850557
51,Murupara,-38.47,176.7,15.0,95,100,1.33,NZ,1600850606
52,Progreso,21.28,-89.67,25.56,90,0,2.17,MX,1600850606
53,Lebu,-37.62,-73.65,7.78,86,96,5.21,CL,1600850606
54,Itaobim,-16.57,-41.83,22.27,77,77,1.12,BR,1600850607
55,Yellowknife,62.46,-114.35,9.0,87,40,2.1,CA,1600850607
56,Myitkyina,25.38,97.4,24.63,96,100,1.18,MM,1600850607
57,Taltal,-25.4,-70.48,12.75,75,56,1.06,CL,1600850607
58,Tabou,4.42,-7.35,25.53,85,96,3.45,CI,1600850607
59,Isla Vista,34.41,-119.86,18.33,93,0,1.01,US,1600850409
60,Anadyr,64.75,177.48,4.0,93,13,3.0,RU,1600850608
61,Qaanaaq,77.48,-69.36,-11.29,79,10,5.17,GL,1600850608
62,Saint Paul Harbor,57.79,-152.41,10.0,81,90,8.2,US,1600850608
63,Kiryat Gat,31.61,34.76,29.44,62,16,0.89,IL,1600850608
64,Sistranda,63.73,8.83,12.0,87,75,7.7,NO,1600850608
65,Hulan,45.98,126.6,20.0,59,12,2.9,CN,1600850533
66,Nueva Loja,0.08,-76.88,19.89,97,65,0.78,EC,1600850608
67,Bethel,41.37,-73.41,8.33,81,1,1.75,US,1600850609
